# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     16     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     16     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    202  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      2      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      3      0      0      0      0    405    292  31761     31      0 
    0     18     42      -      0      3      0      0      0      0    405    195  31761     31      0 
    0     17     42      -      0      3      0      0      0      0    405    210  31761     31      0 
    0     17     42      -      0      3      0      0      0      0    405    195  31761     31      0 
    0     17     42      -      0      3      0      0      0      0    405    195  31761     31      0 
    0     17     42      -      0      3      0      0      0      0    405    195  31760     31      0 
    0     17     42      -      0      3      0      0      0      0    405    195  31760     31      0 
    0    444     62      -    100     48      0      0      0      0  13801   2842  31760     31      0 
    0    597     63      -     97     43      0      0      0      0  13801   2835  31760     31      0 
    0    382     55      -     93     79      0      0      0      0  13801   2895  31762     31      0 
    0    388     56      -     92     79      0      0      0      0  13801   2910  31762     31      0 
    0    388     56      -     94     80      0      0      0      0  13801   2910  31762     31      0 
    0    388     56      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    328     51      -      0      0      0      0      0      0  13801   2917  31762     31      0 
    0    349     55      -     93     74      0      0      0      0  13801   2910  31762     31      0 
    0    338     64      -    100     44      0      0      0      0  13801   2917  31762     31      0 
    0    326     56      -     94     74      0      0      0      0  13801   2910  31762     31      0 
    0    371     56      -     93     73      0      0      0      0  13801   2910  31762     31      0 
    0    373     57      -     93     74      0      0      0      0  13801   2910  31762     31      0 
    0    385     57      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    391     58      -     92     78      0      0      0      0  13801   2910  31762     31      0 
    0    391     58      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    392     58      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    392     58      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    392     58      -     92     78      0      0      0      0  13801   2910  31762     31      0 
    0    392     58      -     91     78      0      0      0      0  13801   2910  31762     31      0 
    0    394     59      -     93     79      0      0      0      0  13801   2910  31762     31      0 
    0    394     59      -     94     80      0      0      0      0  13801   2910  31762     31      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    259     64      -     20      8      0      0      0      0  13801   2925  31762     31      0 
    0    436     67      -    100     48      0      0      0      0  13801   2917  31762     31      0 
    0    605     67      -    100     48      0      0      0      0  13801   2820  31763     31      0 
    0    501     55      -     14      7      0      0      0      0  13801   2850  31763     31      0 
    0    355     60      -     94     75      0      0      0      0  13801   2850  31765     31      0 
