2026-07-31T06:02:13Z,0, 91037, 6254, 0, 83.92|1, 91037, 6254, 0, 80.32|2, 91037, 6254, 4, 81.24|3, 91037, 6254, 0, 84.43
2026-07-31T06:02:14Z,0, 91039, 6252, 0, 100.46|1, 91039, 6252, 0, 98.19|2, 91039, 6252, 0, 97.99|3, 91039, 6252, 0, 102.07
2026-07-31T06:02:15Z,0, 91039, 6252, 0, 84.20|1, 91039, 6252, 0, 80.78|2, 91039, 6252, 0, 82.22|3, 91039, 6252, 0, 84.98
2026-07-31T06:02:17Z,0, 91039, 6252, 0, 84.23|1, 91039, 6252, 0, 80.32|2, 91039, 6252, 0, 82.20|3, 91039, 6252, 0, 84.94
2026-07-31T06:02:18Z,0, 91039, 6252, 100, 116.38|1, 91039, 6252, 100, 94.42|2, 91039, 6252, 100, 104.34|3, 91039, 6252, 100, 104.79
2026-07-31T06:02:19Z,0, 91329, 5962, 0, 104.58|1, 91329, 5962, 0, 93.26|2, 91329, 5962, 0, 101.42|3, 91329, 5962, 0, 95.36
2026-07-31T06:02:20Z,0, 91649, 5642, 100, 161.58|1, 91669, 5622, 100, 154.86|2, 91709, 5582, 100, 193.41|3, 91709, 5582, 100, 167.55
2026-07-31T06:02:21Z,0, 92749, 4542, 100, 424.44|1, 92769, 4522, 100, 388.73|2, 92769, 4522, 100, 401.24|3, 92769, 4522, 100, 400.98
2026-07-31T06:02:22Z,0, 92769, 4522, 0, 149.33|1, 92769, 4522, 0, 103.77|2, 92769, 4522, 0, 100.01|3, 92769, 4522, 0, 113.47
2026-07-31T06:02:23Z,0, 92769, 4522, 0, 84.88|1, 92769, 4522, 0, 81.08|2, 92769, 4522, 0, 82.54|3, 92769, 4522, 0, 84.81
2026-07-31T06:02:24Z,0, 92769, 4522, 0, 84.97|1, 92769, 4522, 0, 80.58|2, 92769, 4522, 0, 82.50|3, 92769, 4522, 0, 84.99
2026-07-31T06:02:26Z,0, 92769, 4522, 0, 83.81|1, 92769, 4522, 0, 80.89|2, 92769, 4522, 0, 81.64|3, 92769, 4522, 0, 84.79
2026-07-31T06:02:27Z,0, 92789, 4502, 100, 393.51|1, 92789, 4502, 100, 392.81|2, 92789, 4502, 100, 387.16|3, 92789, 4502, 100, 372.07
2026-07-31T06:02:28Z,0, 92831, 4460, 46, 228.08|1, 92831, 4460, 67, 206.13|2, 92831, 4460, 43, 183.49|3, 92831, 4460, 0, 218.90
2026-07-31T06:02:29Z,0, 92831, 4460, 0, 84.80|1, 92831, 4460, 0, 81.23|2, 92831, 4460, 0, 82.52|3, 92831, 4460, 0, 85.35
2026-07-31T06:02:30Z,0, 92831, 4460, 0, 83.85|1, 92831, 4460, 0, 79.83|2, 92831, 4460, 0, 82.32|3, 92831, 4460, 0, 83.60
2026-07-31T06:02:31Z,0, 92831, 4460, 0, 84.28|1, 92831, 4460, 0, 80.07|2, 92831, 4460, 0, 82.32|3, 92831, 4460, 0, 84.11
2026-07-31T06:02:32Z,0, 92831, 4460, 100, 143.38|1, 92831, 4460, 100, 125.94|2, 92831, 4460, 100, 119.62|3, 92831, 4460, 100, 150.37
2026-07-31T06:02:34Z,0, 92831, 4460, 100, 337.62|1, 92831, 4460, 100, 325.94|2, 92831, 4460, 100, 339.31|3, 92831, 4460, 100, 319.04
2026-07-31T06:02:35Z,0, 92831, 4460, 100, 365.02|1, 92831, 4460, 49, 313.95|2, 92831, 4460, 78, 327.49|3, 92831, 4460, 100, 339.15
2026-07-31T06:02:36Z,0, 92831, 4460, 100, 437.34|1, 92831, 4460, 100, 399.31|2, 92831, 4460, 100, 395.24|3, 92831, 4460, 100, 422.90
2026-07-31T06:02:37Z,0, 92831, 4460, 100, 345.40|1, 92831, 4460, 100, 332.86|2, 92831, 4460, 100, 321.97|3, 92831, 4460, 100, 349.97
2026-07-31T06:02:38Z,0, 92871, 4420, 67, 351.60|1, 92871, 4420, 100, 302.84|2, 92871, 4420, 100, 318.00|3, 92871, 4420, 54, 329.95
2026-07-31T06:02:39Z,0, 92871, 4420, 100, 432.24|1, 92871, 4420, 100, 411.20|2, 92871, 4420, 100, 391.56|3, 92871, 4420, 100, 422.70
2026-07-31T06:02:40Z,0, 92871, 4420, 100, 206.88|1, 92871, 4420, 100, 183.15|2, 92871, 4420, 100, 201.18|3, 92871, 4420, 100, 198.08
2026-07-31T06:02:42Z,0, 92871, 4420, 100, 410.85|1, 92871, 4420, 100, 354.91|2, 92871, 4420, 100, 364.69|3, 92871, 4420, 100, 402.20
2026-07-31T06:02:43Z,0, 92871, 4420, 100, 285.10|1, 92871, 4420, 100, 256.36|2, 92871, 4420, 100, 263.95|3, 92871, 4420, 100, 271.54
2026-07-31T06:02:44Z,0, 92871, 4420, 100, 340.23|1, 92871, 4420, 100, 302.28|2, 92871, 4420, 100, 303.16|3, 92871, 4420, 100, 356.73
2026-07-31T06:02:45Z,0, 92871, 4420, 78, 367.03|1, 92871, 4420, 99, 328.47|2, 92871, 4420, 98, 320.95|3, 92871, 4420, 80, 334.43
2026-07-31T06:02:46Z,0, 92871, 4420, 100, 187.33|1, 92871, 4420, 100, 172.78|2, 92871, 4420, 100, 171.83|3, 92871, 4420, 100, 177.68
