timestamp,index,memory_used_mib,power_w,util_pct
2026/07/31 16:07:15.956, 0, 92211, 83.51, 0
2026/07/31 16:07:15.977, 1, 92211, 79.83, 0
2026/07/31 16:07:15.992, 2, 92211, 81.35, 0
2026/07/31 16:07:16.007, 3, 92211, 84.20, 0
2026/07/31 16:07:18.082, 0, 92219, 372.79, 100
2026/07/31 16:07:18.104, 1, 92219, 331.27, 100
2026/07/31 16:07:18.124, 2, 92219, 348.14, 100
2026/07/31 16:07:18.142, 3, 92219, 370.51, 100
2026/07/31 16:07:20.226, 0, 92219, 332.80, 99
2026/07/31 16:07:20.250, 1, 92219, 306.06, 99
2026/07/31 16:07:20.271, 2, 92219, 324.17, 99
2026/07/31 16:07:20.292, 3, 92219, 311.28, 99
2026/07/31 16:07:22.378, 0, 92219, 325.76, 99
2026/07/31 16:07:22.402, 1, 92219, 301.45, 99
2026/07/31 16:07:22.422, 2, 92219, 302.89, 99
2026/07/31 16:07:22.441, 3, 92219, 323.05, 99
2026/07/31 16:07:24.527, 0, 92221, 327.20, 99
2026/07/31 16:07:24.551, 1, 92221, 316.64, 99
2026/07/31 16:07:24.573, 2, 92221, 327.65, 99
2026/07/31 16:07:24.592, 3, 92221, 330.42, 99
2026/07/31 16:07:26.681, 0, 92221, 341.70, 100
2026/07/31 16:07:26.706, 1, 92221, 308.35, 100
2026/07/31 16:07:26.726, 2, 92221, 323.94, 99
2026/07/31 16:07:26.744, 3, 92221, 328.88, 100
2026/07/31 16:07:28.826, 0, 92221, 347.70, 100
2026/07/31 16:07:28.851, 1, 92221, 314.20, 100
2026/07/31 16:07:28.872, 2, 92221, 321.10, 100
2026/07/31 16:07:28.891, 3, 92221, 329.87, 100
2026/07/31 16:07:30.976, 0, 92221, 333.40, 99
2026/07/31 16:07:31.001, 1, 92221, 304.36, 99
2026/07/31 16:07:31.022, 2, 92221, 306.70, 99
2026/07/31 16:07:31.042, 3, 92221, 314.16, 99
2026/07/31 16:07:33.130, 0, 92221, 343.99, 100
2026/07/31 16:07:33.154, 1, 92221, 330.10, 100
2026/07/31 16:07:33.175, 2, 92221, 319.61, 100
2026/07/31 16:07:33.194, 3, 92221, 330.95, 100
2026/07/31 16:07:35.278, 0, 92223, 326.63, 99
2026/07/31 16:07:35.300, 1, 92223, 306.95, 99
2026/07/31 16:07:35.320, 2, 92223, 304.78, 99
2026/07/31 16:07:35.338, 3, 92223, 320.10, 99
2026/07/31 16:07:37.419, 0, 92223, 333.37, 99
2026/07/31 16:07:37.444, 1, 92223, 315.41, 99
2026/07/31 16:07:37.465, 2, 92223, 311.60, 99
2026/07/31 16:07:37.485, 3, 92223, 325.58, 99
2026/07/31 16:07:39.571, 0, 92223, 339.23, 100
2026/07/31 16:07:39.593, 1, 92223, 313.46, 100
2026/07/31 16:07:39.612, 2, 92223, 312.94, 100
2026/07/31 16:07:39.629, 3, 92223, 316.85, 100
2026/07/31 16:07:41.709, 0, 92223, 325.42, 99
2026/07/31 16:07:41.735, 1, 92223, 302.09, 99
2026/07/31 16:07:41.756, 2, 92223, 304.47, 99
2026/07/31 16:07:41.776, 3, 92223, 323.92, 99
2026/07/31 16:07:43.861, 0, 92223, 325.64, 99
2026/07/31 16:07:43.885, 1, 92223, 309.65, 99
2026/07/31 16:07:43.905, 2, 92223, 305.86, 99
2026/07/31 16:07:43.925, 3, 92223, 324.42, 99
2026/07/31 16:07:46.010, 0, 92223, 338.16, 99
2026/07/31 16:07:46.033, 1, 92223, 312.31, 99
2026/07/31 16:07:46.054, 2, 92223, 316.79, 99
2026/07/31 16:07:46.073, 3, 92223, 318.51, 99
2026/07/31 16:07:48.157, 0, 92223, 343.40, 99
2026/07/31 16:07:48.181, 1, 92223, 313.69, 99
2026/07/31 16:07:48.201, 2, 92223, 320.02, 99
