2026-07-31T06:20:56Z,0, 91299, 5992, 0, 84.13|1, 91299, 5992, 2, 79.74|2, 91299, 5992, 0, 82.10|3, 91299, 5992, 0, 84.33
2026-07-31T06:20:57Z,0, 91299, 5992, 0, 98.40|1, 91299, 5992, 0, 96.56|2, 91299, 5992, 0, 97.72|3, 91299, 5992, 0, 99.41
2026-07-31T06:20:58Z,0, 91299, 5992, 0, 84.30|1, 91299, 5992, 0, 80.87|2, 91299, 5992, 0, 82.59|3, 91299, 5992, 0, 85.06
2026-07-31T06:20:59Z,0, 91299, 5992, 0, 83.27|1, 91299, 5992, 0, 79.34|2, 91299, 5992, 0, 82.08|3, 91299, 5992, 0, 84.30
2026-07-31T06:21:00Z,0, 91299, 5992, 98, 144.87|1, 91299, 5992, 100, 124.63|2, 91299, 5992, 100, 126.11|3, 91299, 5992, 100, 131.61
2026-07-31T06:21:01Z,0, 91589, 5702, 0, 107.24|1, 91589, 5702, 0, 107.40|2, 91589, 5702, 0, 103.24|3, 91589, 5702, 0, 105.71
2026-07-31T06:21:02Z,0, 91649, 5642, 0, 84.25|1, 91649, 5642, 0, 149.70|2, 91649, 5642, 99, 159.44|3, 91649, 5642, 1, 142.70
2026-07-31T06:21:03Z,0, 92589, 4702, 100, 439.21|1, 92589, 4702, 100, 410.06|2, 92629, 4662, 100, 390.08|3, 92649, 4642, 100, 410.09
2026-07-31T06:21:05Z,0, 92769, 4522, 0, 184.03|1, 92769, 4522, 0, 176.25|2, 92769, 4522, 3, 194.79|3, 92769, 4522, 0, 137.19
2026-07-31T06:21:06Z,0, 92769, 4522, 0, 84.41|1, 92769, 4522, 0, 81.09|2, 92769, 4522, 0, 82.57|3, 92769, 4522, 0, 85.01
2026-07-31T06:21:07Z,0, 92769, 4522, 0, 83.76|1, 92769, 4522, 0, 80.28|2, 92769, 4522, 0, 81.28|3, 92769, 4522, 0, 84.30
2026-07-31T06:21:08Z,0, 92769, 4522, 0, 83.52|1, 92769, 4522, 0, 79.88|2, 92769, 4522, 0, 82.12|3, 92769, 4522, 0, 83.32
2026-07-31T06:21:09Z,0, 92809, 4482, 100, 263.28|1, 92809, 4482, 100, 236.34|2, 92809, 4482, 100, 325.49|3, 92809, 4482, 100, 393.50
2026-07-31T06:21:10Z,0, 92849, 4442, 100, 311.66|1, 92849, 4442, 100, 295.51|2, 92849, 4442, 100, 275.45|3, 92849, 4442, 100, 303.21
2026-07-31T06:21:11Z,0, 92849, 4442, 100, 297.59|1, 92849, 4442, 100, 273.36|2, 92849, 4442, 100, 300.86|3, 92849, 4442, 100, 298.27
2026-07-31T06:21:13Z,0, 92869, 4422, 41, 387.57|1, 92869, 4422, 100, 355.88|2, 92869, 4422, 91, 366.90|3, 92869, 4422, 100, 346.63
2026-07-31T06:21:14Z,0, 92869, 4422, 100, 423.25|1, 92869, 4422, 100, 399.97|2, 92869, 4422, 100, 401.52|3, 92869, 4422, 100, 402.69
2026-07-31T06:21:15Z,0, 92869, 4422, 100, 377.52|1, 92869, 4422, 100, 337.97|2, 92869, 4422, 100, 297.21|3, 92869, 4422, 100, 325.77
2026-07-31T06:21:16Z,0, 92869, 4422, 59, 407.40|1, 92869, 4422, 96, 364.69|2, 92869, 4422, 100, 355.87|3, 92869, 4422, 100, 371.26
2026-07-31T06:21:17Z,0, 92869, 4422, 100, 436.46|1, 92869, 4422, 100, 405.79|2, 92869, 4422, 100, 384.77|3, 92869, 4422, 100, 393.38
2026-07-31T06:21:18Z,0, 92869, 4422, 0, 227.28|1, 92869, 4422, 0, 207.59|2, 92869, 4422, 0, 209.59|3, 92869, 4422, 0, 197.54
2026-07-31T06:21:19Z,0, 92869, 4422, 0, 112.27|1, 92869, 4422, 0, 104.09|2, 92869, 4422, 0, 118.09|3, 92869, 4422, 0, 110.63
2026-07-31T06:21:21Z,0, 92871, 4420, 100, 121.58|1, 92871, 4420, 100, 112.93|2, 92871, 4420, 100, 149.68|3, 92871, 4420, 100, 118.53
2026-07-31T06:21:22Z,0, 92871, 4420, 100, 388.34|1, 92871, 4420, 100, 348.18|2, 92871, 4420, 100, 374.22|3, 92871, 4420, 100, 400.05
2026-07-31T06:21:23Z,0, 92871, 4420, 100, 309.67|1, 92871, 4420, 100, 268.86|2, 92871, 4420, 100, 289.24|3, 92871, 4420, 100, 297.33
2026-07-31T06:21:24Z,0, 92871, 4420, 100, 180.17|1, 92871, 4420, 100, 166.37|2, 92871, 4420, 100, 166.43|3, 92871, 4420, 100, 171.58
2026-07-31T06:21:25Z,0, 92871, 4420, 100, 246.75|1, 92871, 4420, 97, 232.68|2, 92871, 4420, 100, 239.99|3, 92871, 4420, 100, 239.48
2026-07-31T06:21:26Z,0, 92911, 4380, 100, 440.42|1, 92911, 4380, 100, 401.68|2, 92911, 4380, 100, 401.27|3, 92911, 4380, 100, 423.96
